,diet,lat,lon,nz,site
000001446.1075780,Omnivore but no red meat,41.2,-96.1,273,UBERON:feces
000001450.1131879,Omnivore,40.7,-96.7,296,UBERON:feces
000001451.1075992,Omnivore,40.1,-98.5,159,UBERON:feces
000001459.1076170,Omnivore,34.8,-92.5,300,UBERON:feces
000001464.1130441,Omnivore,35.3,-97.5,140,UBERON:feces
000001481.1257208,Omnivore,32.9,-97.1,703,UBERON:feces
000001482.1075740,Omnivore,32.6,-97.4,289,UBERON:feces
000001483.1076445,Omnivore,29.7,-95.4,10,UBERON:feces
000001483.1283126,Omnivore,29.7,-95.4,737,UBERON:feces
000001487.1075942,Omnivore,29.9,-95.5,419,UBERON:feces
000001488.1075891,Omnivore,30.0,-95.7,144,UBERON:feces
000001492.1076464,Omnivore,29.5,-95.1,563,UBERON:feces
000001493.1130567,Omnivore,27.7,-97.4,684,UBERON:feces
000001496.1257137,Omnivore,30.3,-97.6,315,UBERON:feces
000001497.1261680,Omnivore,30.3,-97.7,720,UBERON:feces
000001499.1076418,Omnivore,30.3,-97.7,249,UBERON:feces
000001500.1076150,Vegetarian,30.3,-97.7,635,UBERON:feces
000001504.1075868,Omnivore,30.3,-97.9,145,UBERON:feces
000001505.1131615,Omnivore,30.3,-97.9,238,UBERON:tongue
000001509.1076139,Omnivore,30.3,-97.7,554,UBERON:feces
000001512.1257362,Omnivore,39.8,-105.1,437,UBERON:feces
000001513.1131954,Omnivore but no red meat,39.8,-105.1,316,UBERON:feces
000001516.1075727,Vegetarian but eat seafood,39.9,-105.1,363,UBERON:feces
000001520.1076266,Omnivore,40.0,-105.1,414,UBERON:feces
000001521.1075767,Omnivore,40.0,-105.1,347,UBERON:feces
000001524.1210652,Omnivore,39.5,-104.9,530,UBERON:feces
000001525.fixed232,Omnivore,39.5,-104.9,63,UBERON:feces
000001528.1075962,Omnivore,39.5,-104.7,444,UBERON:feces
000001529.1076281,Omnivore,39.7,-105.0,611,UBERON:feces
000001530.1075882,Vegetarian but eat seafood,39.7,-105.0,167,UBERON:feces
000001531.1075821,Omnivore,39.8,-104.9,431,UBERON:feces
000001533.1131671,Omnivore,39.7,-105.0,1,UBERON:feces
000001533.1210756,Omnivore,39.7,-105.0,387,UBERON:feces
000001534.1053739,Omnivore but no red meat,39.7,-105.0,269,UBERON:feces
000001535.1131625,Omnivore,39.8,-105.0,499,UBERON:feces
000001538.1075817,Omnivore,39.7,-105.0,357,UBERON:feces
000001540.1213103,Omnivore,40.0,-105.2,407,UBERON:feces
000001541.1075950,Omnivore but no red meat,40.0,-105.3,642,UBERON:feces
000001543.1075783,Omnivore,40.0,-105.2,652,UBERON:feces
000001544.1130299,Omnivore,40.1,-105.3,410,UBERON:feces
000001545.1076110,Omnivore,40.1,-105.3,383,UBERON:feces
000001546.1131928,Omnivore,40.0,-105.2,519,UBERON:feces
000001548.1075923,Omnivore,40.5,-106.8,285,UBERON:feces
000001549.1212975,Vegetarian but eat seafood,40.2,-105.1,385,UBERON:feces
000001551.1075786,Omnivore,40.2,-105.2,432,UBERON:feces
000001552.1076011,Omnivore,40.2,-105.0,334,UBERON:feces
000001555.1076056,Omnivore,40.5,-105.1,3,UBERON:feces
000001555.1130135,Omnivore,40.5,-105.1,656,UBERON:feces
000001556.1076063,Omnivore,40.6,-105.1,462,UBERON:feces
000001558.1076184,Omnivore,40.5,-105.2,446,UBERON:feces
000001559.1075764,Omnivore,37.5,-107.8,361,UBERON:feces
000001565.1131700,Omnivore,43.7,-116.2,416,UBERON:feces
000001568.1076176,Omnivore,48.4,-116.4,260,UBERON:feces
000001570.1076416,Omnivore,40.0,-111.5,506,UBERON:feces
000001571.1212966,Omnivore,33.5,-112.1,634,UBERON:feces
000001572.1076205,Omnivore,33.5,-112.0,168,UBERON:feces
000001574.1075853,Omnivore,33.4,-112.0,596,UBERON:feces
000001575.1075981,Omnivore,33.7,-112.0,378,UBERON:feces
000001576.1075918,Omnivore,33.2,-111.6,168,UBERON:feces
000001579.1076370,Omnivore,33.4,-111.8,559,UBERON:feces
000001580.1130206,Vegetarian,33.2,-111.9,440,UBERON:feces
000001582.1076447,Omnivore,33.7,-111.8,80,UBERON:feces
000001582.1130500,Omnivore,33.7,-111.8,83,UBERON:feces
000001583.1076093,Omnivore,33.7,-112.0,368,UBERON:feces
000001585.1212947,Omnivore,33.6,-111.9,420,UBERON:feces
000001587.1075953,Omnivore,31.5,-111.0,138,UBERON:feces
000001589.1076022,Omnivore,32.2,-111.0,616,UBERON:feces
000001590.1076320,Omnivore,32.4,-110.9,11,UBERON:feces
000001590.1130513,Omnivore,32.4,-110.9,506,UBERON:feces
000001593.1076013,Omnivore,32.2,-110.7,95,UBERON:feces
000001593.1130109,Omnivore,32.2,-110.7,1,UBERON:feces
000001594.1076395,Omnivore,32.3,-110.8,242,UBERON:feces
000001595.1076003,Omnivore,35.2,-111.7,573,UBERON:feces
000001597.1076041,Omnivore,35.2,-106.6,420,UBERON:feces
000001600.1053953,Omnivore,35.1,-106.6,2,UBERON:feces
000001600.1130271,Omnivore,35.1,-106.6,384,UBERON:feces
000001605.1257298,Omnivore,44.3,-71.8,448,UBERON:feces
000001611.1076072,Omnivore,36.1,-115.1,267,UBERON:feces
000001613.1213143,Vegan,34.1,-118.4,570,UBERON:feces
000001614.fixed279,Omnivore but no red meat,34.1,-118.4,318,UBERON:feces
000001615.1075717,Vegetarian but eat seafood,34.1,-118.3,162,UBERON:feces
000001616.1076171,Vegan,34.0,-118.4,377,UBERON:feces
000001618.1131787,Omnivore,34.1,-118.5,335,UBERON:feces
000001620.1257509,Omnivore,34.0,-118.5,4,UBERON:feces
000001620.1261743,Omnivore,34.0,-118.5,214,UBERON:feces
000001621.1130247,Omnivore,34.0,-118.4,381,UBERON:feces
000001622.1076031,Omnivore,34.0,-118.5,226,UBERON:feces
000001626.1212997,Omnivore,33.8,-118.1,85,UBERON:feces
000001630.1130004,Omnivore,34.2,-118.7,322,UBERON:feces
000001631.1076423,Omnivore but no red meat,34.2,-118.9,1,UBERON:feces
000001631.1130443,Omnivore but no red meat,34.2,-118.9,245,UBERON:feces
000001632.1075874,Omnivore but no red meat,34.3,-118.5,332,UBERON:feces
000001635.1076140,Omnivore,34.2,-118.4,6,UBERON:feces
000001635.1283105,Omnivore,34.2,-118.4,757,UBERON:feces
000001645.1075976,Vegetarian but eat seafood,32.8,-117.0,290,UBERON:feces
000001646.1213145,Omnivore,33.2,-117.2,408,UBERON:feces
000001647.1076299,Omnivore,32.8,-117.2,607,UBERON:feces
000001649.1075973,Omnivore,32.8,-117.1,364,UBERON:feces
000001650.1075911,Omnivore,32.9,-117.2,459,UBERON:feces
000001651.1076077,Omnivore,34.0,-117.2,460,UBERON:feces
000001652.1076108,Omnivore,33.8,-116.7,394,UBERON:feces
000001654.1076051,Vegetarian but eat seafood,33.7,-117.7,210,UBERON:feces
000001658.1075889,Omnivore,33.8,-117.9,206,UBERON:feces
000001659.1075988,Omnivore,34.3,-119.2,407,UBERON:feces
000001660.1075763,Omnivore,34.3,-118.9,138,UBERON:feces
000001661.1075770,Omnivore,34.2,-119.2,661,UBERON:feces
000001662.1076019,Omnivore,34.3,-118.7,2,UBERON:feces
000001662.1130357,Omnivore,34.3,-118.7,256,UBERON:feces
000001669.1075769,Omnivore,37.7,-122.5,412,UBERON:feces
000001671.1053821,Vegan,37.3,-122.2,376,UBERON:feces
000001673.1210644,Vegetarian,37.4,-122.1,290,UBERON:feces
000001676.1076404,Omnivore,37.4,-122.2,158,UBERON:feces
000001678.1075807,Vegetarian but eat seafood,37.4,-122.1,362,UBERON:feces
000001684.1076429,Omnivore,37.8,-122.4,510,UBERON:feces
